# Задание 15: Н и НН
# Формат: предложение | ответ | варианты | пояснение
# Ответы восстановлены по условию и цифровому ключу.

# Комплект 1; источник № 88
Путники, задумчивые и восторже(Н/НН)ые одновременно, очутились как бы в ватном облаке, солнце превратилось в маленький оловянный круг, по которому плыли белесые клочья, пока совершенно не закрыли его. | НН | Н,НН | Правильное написание: восторженные.
Хрупкий точёный силуэт изображённой на картине девушки особенно выделяется на фоне белё(Н/НН)ой стены, по которой бегут перламутровые тени. | Н | Н,НН | Правильное написание: белёной.

# Комплект 67; источник № 4208
За прилавками с белокоча(Н/НН)ой капустой, за россыпями золотого лука, ранних сортов моркови, за бочонками с мочёными яблоками и солёными огурцами, за поросячьими тушками стояли в белых фартуках продавцы. | НН | Н,НН | Правильное написание: белокочанной.
За прилавками с белокочанной капустой, за россыпями золотого лука, ра(Н/НН)их сортов моркови, за бочонками с мочёными яблоками и солёными огурцами, за поросячьими тушками стояли в белых фартуках продавцы. | НН | Н,НН | Правильное написание: ранних.
За прилавками с белокочанной капустой, за россыпями золотого лука, ранних сортов моркови, за бочонками с мочё(Н/НН)ыми яблоками и солёными огурцами, за поросячьими тушками стояли в белых фартуках продавцы. | Н | Н,НН | Правильное написание: мочёными.
За прилавками с белокочанной капустой, за россыпями золотого лука, ранних сортов моркови, за бочонками с мочёными яблоками и солё(Н/НН)ыми огурцами, за поросячьими тушками стояли в белых фартуках продавцы. | Н | Н,НН | Правильное написание: солёными.

# Комплект 68; источник № 12636
Серова были проявле(Н/НН)ы почти все черты, свойственные ему как пейзажисту: острота видения, глубочайшее проникновение в суть изображаемого, изысканность и точность колорита. | Н | Н,НН | Правильное написание: проявлены.
Серова были проявлены почти все черты, свойстве(Н/НН)ые ему как пейзажисту: острота видения, глубочайшее проникновение в суть изображаемого, изысканность и точность колорита. | НН | Н,НН | Правильное написание: свойственные.
Серова были проявлены почти все черты, свойственные ему как пейзажисту: острота видения, глубочайшее проникновение в суть изображаемого, изыска(Н/НН)ость и точность колорита. | НН | Н,НН | Правильное написание: изысканность.

# Комплект 69; источник № 9387
Корабли, успевшие заблаговреме(Н/НН)о укрыться в гавани, были вытащены на берег, но и сюда докатывались рассерженные волны, и тогда широко раскачивались и плясали стройные, точёные мачты, а доски скрипели, точно готовые развалиться. | НН | Н,НН | Правильное написание: заблаговременно.
Корабли, успевшие заблаговременно укрыться в гавани, были вытаще(Н/НН)ы на берег, но и сюда докатывались рассерженные волны, и тогда широко раскачивались и плясали стройные, точёные мачты, а доски скрипели, точно готовые развалиться. | Н | Н,НН | Правильное написание: вытащены.
Корабли, успевшие заблаговременно укрыться в гавани, были вытащены на берег, но и сюда докатывались рассерже(Н/НН)ые волны, и тогда широко раскачивались и плясали стройные, точёные мачты, а доски скрипели, точно готовые развалиться. | НН | Н,НН | Правильное написание: рассерженные.
Корабли, успевшие заблаговременно укрыться в гавани, были вытащены на берег, но и сюда докатывались рассерженные волны, и тогда широко раскачивались и плясали стройные, точё(Н/НН)ые мачты, а доски скрипели, точно готовые развалиться. | Н | Н,НН | Правильное написание: точёные.

# Комплект 70; источник № 2920
При посещении охотничьего замка туристам понравились стари(Н/НН)ые гобелены в центральном зале, а также великолепные изысканные портреты в золочёных рамах, на которых изображены были прежние владельцы. | НН | Н,НН | Правильное написание: старинные.
При посещении охотничьего замка туристам понравились старинные гобелены в центральном зале, а также великолепные изыска(Н/НН)ые портреты в золочёных рамах, на которых изображены были прежние владельцы. | НН | Н,НН | Правильное написание: изысканные.
При посещении охотничьего замка туристам понравились старинные гобелены в центральном зале, а также великолепные изысканные портреты в золочё(Н/НН)ых рамах, на которых изображены были прежние владельцы. | Н | Н,НН | Правильное написание: золочёных.
При посещении охотничьего замка туристам понравились старинные гобелены в центральном зале, а также великолепные изысканные портреты в золочёных рамах, на которых изображе(Н/НН)ы были прежние владельцы. | Н | Н,НН | Правильное написание: изображены.

# Комплект 71; источник № 5283
В небольшом, оклее(Н/НН)ом чисто белыми обоями, совершенно пустом зале было светло, пахло масляной краской, на блестящем крашеном полу стояли две китайские вазы. | НН | Н,НН | Правильное написание: оклеенном.
В небольшом, оклеенном чисто белыми обоями, соверше(Н/НН)о пустом зале было светло, пахло масляной краской, на блестящем крашеном полу стояли две китайские вазы. | НН | Н,НН | Правильное написание: совершенно.
В небольшом, оклеенном чисто белыми обоями, совершенно пустом зале было светло, пахло масля(Н/НН)ой краской, на блестящем крашеном полу стояли две китайские вазы. | Н | Н,НН | Правильное написание: масляной.
В небольшом, оклеенном чисто белыми обоями, совершенно пустом зале было светло, пахло масляной краской, на блестящем краше(Н/НН)ом полу стояли две китайские вазы. | Н | Н,НН | Правильное написание: крашеном.

# Комплект 72; источник № 12356
Комнаты были устрое(Н/НН)ы с замечательной роскошью: стены обиты пёстрыми бухарскими коврами, потолки расписаны масляными красками, на полах – настоящие персидские ковры. | Н | Н,НН | Правильное написание: устроены.
Комнаты были устроены с замечательной роскошью: стены обиты пёстрыми бухарскими коврами, потолки расписа(Н/НН)ы масляными красками, на полах – настоящие персидские ковры. | Н | Н,НН | Правильное написание: расписаны.
Комнаты были устроены с замечательной роскошью: стены обиты пёстрыми бухарскими коврами, потолки расписаны масля(Н/НН)ыми красками, на полах – настоящие персидские ковры. | Н | Н,НН | Правильное написание: масляными.

# Комплект 73; источник № 39751
Стари(Н/НН)ый замок XV−XVI веков был расположен высоко на горе, по обеим сторонам дороги, ведущей к нему, были зажжены факелы; внутренний двор, обнесённый колоннадой, был превращён в концертный зал под открытым небом: устроена небольшая сцена, на посыпанном то ли мелкой галькой, то ли песком земляном полу установлены стулья. | НН | Н,НН | Правильное написание: Старинный.
Старинный замок XV−XVI веков был расположен высоко на горе, по обеим сторонам дороги, ведущей к нему, были зажже(Н/НН)ы факелы; внутренний двор, обнесённый колоннадой, был превращён в концертный зал под открытым небом: устроена небольшая сцена, на посыпанном то ли мелкой галькой, то ли песком земляном полу установлены стулья. | Н | Н,НН | Правильное написание: зажжены.
Старинный замок XV−XVI веков был расположен высоко на горе, по обеим сторонам дороги, ведущей к нему, были зажжены факелы; внутре(Н/НН)ий двор, обнесённый колоннадой, был превращён в концертный зал под открытым небом: устроена небольшая сцена, на посыпанном то ли мелкой галькой, то ли песком земляном полу установлены стулья. | НН | Н,НН | Правильное написание: внутренний.
Старинный замок XV−XVI веков был расположен высоко на горе, по обеим сторонам дороги, ведущей к нему, были зажжены факелы; внутренний двор, обнесё(Н/НН)ый колоннадой, был превращён в концертный зал под открытым небом: устроена небольшая сцена, на посыпанном то ли мелкой галькой, то ли песком земляном полу установлены стулья. | НН | Н,НН | Правильное написание: обнесённый.
Старинный замок XV−XVI веков был расположен высоко на горе, по обеим сторонам дороги, ведущей к нему, были зажжены факелы; внутренний двор, обнесённый колоннадой, был превращён в концертный зал под открытым небом: устрое(Н/НН)а небольшая сцена, на посыпанном то ли мелкой галькой, то ли песком земляном полу установлены стулья. | Н | Н,НН | Правильное написание: устроена.
Старинный замок XV−XVI веков был расположен высоко на горе, по обеим сторонам дороги, ведущей к нему, были зажжены факелы; внутренний двор, обнесённый колоннадой, был превращён в концертный зал под открытым небом: устроена небольшая сцена, на посыпа(Н/НН)ом то ли мелкой галькой, то ли песком земляном полу установлены стулья. | НН | Н,НН | Правильное написание: посыпанном.
Старинный замок XV−XVI веков был расположен высоко на горе, по обеим сторонам дороги, ведущей к нему, были зажжены факелы; внутренний двор, обнесённый колоннадой, был превращён в концертный зал под открытым небом: устроена небольшая сцена, на посыпанном то ли мелкой галькой, то ли песком земля(Н/НН)ом полу установлены стулья. | Н | Н,НН | Правильное написание: земляном.
Старинный замок XV−XVI веков был расположен высоко на горе, по обеим сторонам дороги, ведущей к нему, были зажжены факелы; внутренний двор, обнесённый колоннадой, был превращён в концертный зал под открытым небом: устроена небольшая сцена, на посыпанном то ли мелкой галькой, то ли песком земляном полу установле(Н/НН)ы стулья. | Н | Н,НН | Правильное написание: установлены.

# Комплект 74; источник № 696
Арка в стене, завеше(Н/НН)ая ковром, ведет в тусклое пространство, в центре которого на кофейном столике, инкрустированном перламутром, стоит серебряный кувшин дивной старинной работы. | НН | Н,НН | Правильное написание: завешенная.
Арка в стене, завешенная ковром, ведет в тусклое пространство, в центре которого на кофейном столике, инкрустирова(Н/НН)ом перламутром, стоит серебряный кувшин дивной старинной работы. | НН | Н,НН | Правильное написание: инкрустированном.
Арка в стене, завешенная ковром, ведет в тусклое пространство, в центре которого на кофейном столике, инкрустированном перламутром, стоит серебря(Н/НН)ый кувшин дивной старинной работы. | Н | Н,НН | Правильное написание: серебряный.
Арка в стене, завешенная ковром, ведет в тусклое пространство, в центре которого на кофейном столике, инкрустированном перламутром, стоит серебряный кувшин дивной стари(Н/НН)ой работы. | НН | Н,НН | Правильное написание: старинной.

# Комплект 75; источник № 4247
Все стены кабинета украше(Н/НН)ы резными панелями, золочёным орнаментом и зеркалами, которые расширяют пространство, придавая ему неопределённость. | Н | Н,НН | Правильное написание: украшены.
Все стены кабинета украшены резными панелями, золочё(Н/НН)ым орнаментом и зеркалами, которые расширяют пространство, придавая ему неопределённость. | Н | Н,НН | Правильное написание: золочёным.
Все стены кабинета украшены резными панелями, золочёным орнаментом и зеркалами, которые расширяют пространство, придавая ему неопределё(Н/НН)ость. | НН | Н,НН | Правильное написание: неопределённость.

# Комплект 76; источник № 49140
В багажнике автомобиля время от времени обнаруживались разные стра(Н/НН)ые предметы: то надтреснутая пудреница, то плюшевая собака с полуоторванным кожаным носом, то большой настольный калькулятор, на дисплее которого светилось бессмысленно сложное, с четвёрками и тройками в периоде, число. | НН | Н,НН | Правильное написание: странные.
В багажнике автомобиля время от времени обнаруживались разные странные предметы: то надтреснутая пудре(Н/НН)ица, то плюшевая собака с полуоторванным кожаным носом, то большой настольный калькулятор, на дисплее которого светилось бессмысленно сложное, с четвёрками и тройками в периоде, число. | Н | Н,НН | Правильное написание: пудреница.
В багажнике автомобиля время от времени обнаруживались разные странные предметы: то надтреснутая пудреница, то плюшевая собака с полуоторва(Н/НН)ым кожаным носом, то большой настольный калькулятор, на дисплее которого светилось бессмысленно сложное, с четвёрками и тройками в периоде, число. | НН | Н,НН | Правильное написание: полуоторванным.
В багажнике автомобиля время от времени обнаруживались разные странные предметы: то надтреснутая пудреница, то плюшевая собака с полуоторванным кожа(Н/НН)ым носом, то большой настольный калькулятор, на дисплее которого светилось бессмысленно сложное, с четвёрками и тройками в периоде, число. | Н | Н,НН | Правильное написание: кожаным.
В багажнике автомобиля время от времени обнаруживались разные странные предметы: то надтреснутая пудреница, то плюшевая собака с полуоторванным кожаным носом, то большой настольный калькулятор, на дисплее которого светилось бессмысле(Н/НН)о сложное, с четвёрками и тройками в периоде, число. | НН | Н,НН | Правильное написание: бессмысленно.

# Комплект 77; источник № 4559
Радищева в «Путешествии из Петербурга в Москву» к народной музыке не только оправда(Н/НН)о художественными особенностями, но и подкреплено просветительскими выводами. | Н | Н,НН | Правильное написание: оправдано.
Радищева в «Путешествии из Петербурга в Москву» к народной музыке не только оправдано художестве(Н/НН)ыми особенностями, но и подкреплено просветительскими выводами. | НН | Н,НН | Правильное написание: художественными.
Радищева в «Путешествии из Петербурга в Москву» к народной музыке не только оправдано художественными особенностями, но и подкрепле(Н/НН)о просветительскими выводами. | Н | Н,НН | Правильное написание: подкреплено.

# Комплект 78; источник № 44213
Первый луч солнца через неплотно притворё(Н/НН)ые ставни золотил изразцовую печь, свежевыкрашенные полы, недавно крашенные хозяевами стены, увешанные картинками на темы детских сказок. | НН | Н,НН | Правильное написание: притворённые.
Первый луч солнца через неплотно притворённые ставни золотил изразцовую печь, свежевыкраше(Н/НН)ые полы, недавно крашенные хозяевами стены, увешанные картинками на темы детских сказок. | НН | Н,НН | Правильное написание: свежевыкрашенные.
Первый луч солнца через неплотно притворённые ставни золотил изразцовую печь, свежевыкрашенные полы, недавно краше(Н/НН)ые хозяевами стены, увешанные картинками на темы детских сказок. | НН | Н,НН | Правильное написание: крашенные.
Первый луч солнца через неплотно притворённые ставни золотил изразцовую печь, свежевыкрашенные полы, недавно крашенные хозяевами стены, увеша(Н/НН)ые картинками на темы детских сказок. | НН | Н,НН | Правильное написание: увешанные.

# Комплект 79; источник № 1761
На переднем плане картины на фоне фигур ряже(Н/НН)ых с мазанными сажей лицами ярко выделяется девушка в белоснежном платье с плетёной корзиной в руках. | Н | Н,НН | Правильное написание: ряженых.
На переднем плане картины на фоне фигур ряженых с маза(Н/НН)ыми сажей лицами ярко выделяется девушка в белоснежном платье с плетёной корзиной в руках. | НН | Н,НН | Правильное написание: мазанными.
На переднем плане картины на фоне фигур ряженых с мазанными сажей лицами ярко выделяется девушка в белоснежном платье с плетё(Н/НН)ой корзиной в руках. | Н | Н,НН | Правильное написание: плетёной.

# Комплект 80; источник № 59309
Удивительная отточе (Н/НН)ость и законченность каждой фразы произведений этого писателя, многие из которых были созданы художником в годы войны, говорят о его подли нном таланте. | НН | Н,НН | Правильное написание: нность.
Удивительная отточе нность и законче(Н/НН)ость каждой фразы произведений этого писателя, многие из которых были созданы художником в годы войны, говорят о его подли нном таланте. | НН | Н,НН | Правильное написание: законченность.
Удивительная отточе нность и законченность каждой фразы произведений этого писателя, многие из которых были созда(Н/НН)ы художником в годы войны, говорят о его подли нном таланте. | Н | Н,НН | Правильное написание: созданы.
Удивительная отточе нность и законченность каждой фразы произведений этого писателя, многие из которых были созданы художником в годы войны, говорят о его подли (Н/НН)ом таланте. | НН | Н,НН | Правильное написание: нном.

# Комплект 81; источник № 6308
Обойдя дом с другой стороны, я увидел небольшую каме(Н/НН)ую пристройку со стеклянной дверью, окружённую густым боярышником; крыльцо и скамейка у входа были разрушены. | НН | Н,НН | Правильное написание: каменную.
Обойдя дом с другой стороны, я увидел небольшую каменную пристройку со стекля(Н/НН)ой дверью, окружённую густым боярышником; крыльцо и скамейка у входа были разрушены. | НН | Н,НН | Правильное написание: стеклянной.
Обойдя дом с другой стороны, я увидел небольшую каменную пристройку со стеклянной дверью, окружё(Н/НН)ую густым боярышником; крыльцо и скамейка у входа были разрушены. | НН | Н,НН | Правильное написание: окружённую.
Обойдя дом с другой стороны, я увидел небольшую каменную пристройку со стеклянной дверью, окружённую густым боярышником; крыльцо и скамейка у входа были разруше(Н/НН)ы. | Н | Н,НН | Правильное написание: разрушены.

# Комплект 82; источник № 12460
Омары уже были прода(Н/НН)ы, и теперь старик мог спокойно стоять хоть до вечера, с величественной повадкой поглядывать вокруг, рисуясь своей глиняной трубкой и красным беретом, спущенным на одно ухо. | Н | Н,НН | Правильное написание: проданы.
Омары уже были проданы, и теперь старик мог спокойно стоять хоть до вечера, с величестве(Н/НН)ой повадкой поглядывать вокруг, рисуясь своей глиняной трубкой и красным беретом, спущенным на одно ухо. | НН | Н,НН | Правильное написание: величественной.
Омары уже были проданы, и теперь старик мог спокойно стоять хоть до вечера, с величественной повадкой поглядывать вокруг, рисуясь своей глиня(Н/НН)ой трубкой и красным беретом, спущенным на одно ухо. | Н | Н,НН | Правильное написание: глиняной.
Омары уже были проданы, и теперь старик мог спокойно стоять хоть до вечера, с величественной повадкой поглядывать вокруг, рисуясь своей глиняной трубкой и красным беретом, спуще(Н/НН)ым на одно ухо. | НН | Н,НН | Правильное написание: спущенным.

# Комплект 83; источник № 30017
Представители позднего классицизма были убежде(Н/НН)ы, что искусство предназначено для глубинного постижения человека и мироздания. | Н | Н,НН | Правильное написание: убеждены.
Представители позднего классицизма были убеждены, что искусство предназначе(Н/НН)о для глубинного постижения человека и мироздания. | Н | Н,НН | Правильное написание: предназначено.
Представители позднего классицизма были убеждены, что искусство предназначено для глуби(Н/НН)ого постижения человека и мироздания. | НН | Н,НН | Правильное написание: глубинного.

# Комплект 84; источник № 4754
Дли(Н/НН)ый ряд невиданных картин в старинных рамах, развешанных по некрашеным стенам, радовал глаз буйством красок. | НН | Н,НН | Правильное написание: Длинный.
Длинный ряд невида(Н/НН)ых картин в старинных рамах, развешанных по некрашеным стенам, радовал глаз буйством красок. | НН | Н,НН | Правильное написание: невиданных.
Длинный ряд невиданных картин в стари(Н/НН)ых рамах, развешанных по некрашеным стенам, радовал глаз буйством красок. | НН | Н,НН | Правильное написание: старинных.
Длинный ряд невиданных картин в старинных рамах, развеша(Н/НН)ых по некрашеным стенам, радовал глаз буйством красок. | НН | Н,НН | Правильное написание: развешанных.
Длинный ряд невиданных картин в старинных рамах, развешанных по некраше(Н/НН)ым стенам, радовал глаз буйством красок. | Н | Н,НН | Правильное написание: некрашеным.

# Комплект 85; источник № 810
Церковь Василия Блаженного увенча(Н/НН)а огромной, радужного цвета главой, чрезвычайно похожей на хрустальную гранёную пробку старинного графина. | Н | Н,НН | Правильное написание: увенчана.
Церковь Василия Блаженного увенчана огромной, радужного цвета главой, чрезвычайно похожей на хрустальную гранё(Н/НН)ую пробку старинного графина. | Н | Н,НН | Правильное написание: гранёную.
Церковь Василия Блаженного увенчана огромной, радужного цвета главой, чрезвычайно похожей на хрустальную гранёную пробку стари(Н/НН)ого графина. | НН | Н,НН | Правильное написание: старинного.

# Комплект 86; источник № 13
Впоследствии я разыскал в кладовке какие-то необыкнове(Н/НН)ые рукописи, переплетенные в тома и писанные по-латыни. | НН | Н,НН | Правильное написание: необыкновенные.
Впоследствии я разыскал в кладовке какие-то необыкновенные рукописи, переплете(Н/НН)ые в тома и писанные по-латыни. | НН | Н,НН | Правильное написание: переплетенные.
Впоследствии я разыскал в кладовке какие-то необыкновенные рукописи, переплетенные в тома и писа(Н/НН)ые по-латыни. | НН | Н,НН | Правильное написание: писанные.

# Комплект 87; источник № 4988
На хозяине была тка(Н/НН)ая рубаха, подпоясанная кожаным ремнём, и холстинные, давно не глаженные штаны. | Н | Н,НН | Правильное написание: тканая.
На хозяине была тканая рубаха, подпояса(Н/НН)ая кожаным ремнём, и холстинные, давно не глаженные штаны. | НН | Н,НН | Правильное написание: подпоясанная.
На хозяине была тканая рубаха, подпоясанная кожа(Н/НН)ым ремнём, и холстинные, давно не глаженные штаны. | Н | Н,НН | Правильное написание: кожаным.
На хозяине была тканая рубаха, подпоясанная кожаным ремнём, и холсти(Н/НН)ые, давно не глаженные штаны. | НН | Н,НН | Правильное написание: холстинные.
На хозяине была тканая рубаха, подпоясанная кожаным ремнём, и холстинные, давно не глаже(Н/НН)ые штаны. | НН | Н,НН | Правильное написание: глаженные.

# Комплект 88; источник № 58369
«Повесть време(Н/НН)ы́х лет» называет книги реками, торжественно поящими Вселенную мудростью поистине неизмеримой глубины. | НН | Н,НН | Правильное написание: временны.
«Повесть временны́х лет» называет книги реками, торжестве(Н/НН)о поящими Вселенную мудростью поистине неизмеримой глубины. | НН | Н,НН | Правильное написание: торжественно.
«Повесть временны́х лет» называет книги реками, торжественно поящими Вселе(Н/НН)ую мудростью поистине неизмеримой глубины. | НН | Н,НН | Правильное написание: Вселенную.
«Повесть временны́х лет» называет книги реками, торжественно поящими Вселенную мудростью поисти(Н/НН)е неизмеримой глубины. | Н | Н,НН | Правильное написание: поистине.

# Комплект 89; источник № 9896
Александр Блок создал особе(Н/НН)ый поэтический мир, пронизанный синим и пурпурным цветом, сотканный из бликов и наполненный удивительной мелодичностью. | НН | Н,НН | Правильное написание: особенный.
Александр Блок создал особенный поэтический мир, прониза(Н/НН)ый синим и пурпурным цветом, сотканный из бликов и наполненный удивительной мелодичностью. | НН | Н,НН | Правильное написание: пронизанный.
Александр Блок создал особенный поэтический мир, пронизанный синим и пурпурным цветом, сотка(Н/НН)ый из бликов и наполненный удивительной мелодичностью. | НН | Н,НН | Правильное написание: сотканный.
Александр Блок создал особенный поэтический мир, пронизанный синим и пурпурным цветом, сотканный из бликов и наполне(Н/НН)ый удивительной мелодичностью. | НН | Н,НН | Правильное написание: наполненный.

# Комплект 90; источник № 1723
Модель нового дворца была доставле(Н/НН)а в Петербург, одобрена императрицей, после чего торжественно прошла церемония закладки первого камня. | Н | Н,НН | Правильное написание: доставлена.
Модель нового дворца была доставлена в Петербург, одобре(Н/НН)а императрицей, после чего торжественно прошла церемония закладки первого камня. | Н | Н,НН | Правильное написание: одобрена.
Модель нового дворца была доставлена в Петербург, одобрена императрицей, после чего торжестве(Н/НН)о прошла церемония закладки первого камня. | НН | Н,НН | Правильное написание: торжественно.

# Комплект 91; источник № 3857
Речка была смире(Н/НН)ая, сплошь по берегам заросшая водяной травой, кое-где освещенная желтыми лампадами кувшинок и шибко засоренная лесом от весеннего сплава. | НН | Н,НН | Правильное написание: смиренная.
Речка была смиренная, сплошь по берегам заросшая водя(Н/НН)ой травой, кое-где освещенная желтыми лампадами кувшинок и шибко засоренная лесом от весеннего сплава. | Н | Н,НН | Правильное написание: водяной.
Речка была смиренная, сплошь по берегам заросшая водяной травой, кое-где освеще(Н/НН)ая желтыми лампадами кувшинок и шибко засоренная лесом от весеннего сплава. | НН | Н,НН | Правильное написание: освещенная.
Речка была смиренная, сплошь по берегам заросшая водяной травой, кое-где освещенная желтыми лампадами кувшинок и шибко засоре(Н/НН)ая лесом от весеннего сплава. | НН | Н,НН | Правильное написание: засоренная.
Речка была смиренная, сплошь по берегам заросшая водяной травой, кое-где освещенная желтыми лампадами кувшинок и шибко засоренная лесом от весе(Н/НН)его сплава. | НН | Н,НН | Правильное написание: весеннего.

# Комплект 92; источник № 10652
Жизнь Пришвина – пример того, как человек отрешился от всего наносного, что навяза(Н/НН)о ему средой, и начал жить только по велению сердца, в согласии со своим внутренним миром. | Н | Н,НН | Правильное написание: навязано.
Жизнь Пришвина – пример того, как человек отрешился от всего наносного, что навязано ему средой, и начал жить только по велению сердца, в согласии со своим внутре(Н/НН)им миром. | НН | Н,НН | Правильное написание: внутренним.
Книги Пришвина – это бесконечная радость постоя(Н/НН)ых открытий, его проза наполнена поэзией. | НН | Н,НН | Правильное написание: постоянных.
Книги Пришвина – это бесконечная радость постоянных открытий, его проза наполне(Н/НН)а поэзией. | Н | Н,НН | Правильное написание: наполнена.

# Комплект 93; источник № 2563
Деревя(Н/НН)ый вместительный дом с некрашеным дощатым полом, отштукатуренный изнутри, прочно стоял на каменном фундаменте. | НН | Н,НН | Правильное написание: Деревянный.
Деревянный вместительный дом с некраше(Н/НН)ым дощатым полом, отштукатуренный изнутри, прочно стоял на каменном фундаменте. | Н | Н,НН | Правильное написание: некрашеным.
Деревянный вместительный дом с некрашеным дощатым полом, отштукатуре(Н/НН)ый изнутри, прочно стоял на каменном фундаменте. | НН | Н,НН | Правильное написание: отштукатуренный.
Деревянный вместительный дом с некрашеным дощатым полом, отштукатуренный изнутри, прочно стоял на каме(Н/НН)ом фундаменте. | НН | Н,НН | Правильное написание: каменном.

# Комплект 94; источник № 5105
В творчестве Сальвадор Дали был неутомимым искателем, ненавидевшим обыде(Н/НН)ость и создававшим обновлённые образы и неожиданные композиции. | НН | Н,НН | Правильное написание: обыденность.
В творчестве Сальвадор Дали был неутомимым искателем, ненавидевшим обыденность и создававшим обновлё(Н/НН)ые образы и неожиданные композиции. | НН | Н,НН | Правильное написание: обновлённые.
В творчестве Сальвадор Дали был неутомимым искателем, ненавидевшим обыденность и создававшим обновлённые образы и неожида(Н/НН)ые композиции. | НН | Н,НН | Правильное написание: неожиданные.

# Комплект 95; источник № 164
Вдоль стен, вымаза(Н/НН)ых синей извёсткой, стояли скамейки, в передней комнате несколько стульев и стол для музыкантов, в задней — десяток столов, составленных в длинный ряд для ужина, — вот вся обстановка. | НН | Н,НН | Правильное написание: вымазанных.
Вдоль стен, вымазанных синей извёсткой, стояли скамейки, в передней комнате несколько стульев и стол для музыкантов, в задней — десяток столов, составле(Н/НН)ых в длинный ряд для ужина, — вот вся обстановка. | НН | Н,НН | Правильное написание: составленных.
Вдоль стен, вымазанных синей извёсткой, стояли скамейки, в передней комнате несколько стульев и стол для музыкантов, в задней — десяток столов, составленных в дли(Н/НН)ый ряд для ужина, — вот вся обстановка. | НН | Н,НН | Правильное написание: длинный.

# Комплект 96; источник № 4364
Вдали, на крутом известковом берегу, подмытом разливами, в утре(Н/НН)ем воздухе ясно виднеется село с белой каменной церковью и ветряными мельницами. | НН | Н,НН | Правильное написание: утреннем.
Вдали, на крутом известковом берегу, подмытом разливами, в утреннем воздухе ясно виднеется село с белой каме(Н/НН)ой церковью и ветряными мельницами. | НН | Н,НН | Правильное написание: каменной.
Вдали, на крутом известковом берегу, подмытом разливами, в утреннем воздухе ясно виднеется село с белой каменной церковью и ветря(Н/НН)ыми мельницами. | Н | Н,НН | Правильное написание: ветряными.

# Комплект 97; источник № 46268
Сви(Н/НН)ые органы действительно подходят для того, чтобы пересаживать их человеку, особенно если это генно-модифицированная свинья, у которой дополнительно подавлены некоторые гены. | Н | Н,НН | Правильное написание: Свиные.
Свиные органы действительно подходят для того, чтобы пересаживать их человеку, особе(Н/НН)о если это генно-модифицированная свинья, у которой дополнительно подавлены некоторые гены. | НН | Н,НН | Правильное написание: особенно.
Свиные органы действительно подходят для того, чтобы пересаживать их человеку, особенно если это ге(Н/НН)о-модифицированная свинья, у которой дополнительно подавлены некоторые гены. | НН | Н,НН | Правильное написание: генно-модифицированная.
Свиные органы действительно подходят для того, чтобы пересаживать их человеку, особенно если это генно-модифицирова(Н/НН)ая свинья, у которой дополнительно подавлены некоторые гены. | НН | Н,НН | Правильное написание: генно-модифицированная.
Свиные органы действительно подходят для того, чтобы пересаживать их человеку, особенно если это генно-модифицированная свинья, у которой дополнительно подавле(Н/НН)ы некоторые гены. | Н | Н,НН | Правильное написание: подавлены.

# Комплект 98; источник № 12433
Анна Ахматова позволяла себе иронизировать по поводу своих знаменитейших стихов, и это ничуть не противоречило её царстве(Н/НН)ости, не нарушало её внутренней поэтической гармонии, а только обогащало её образ, сообщало ему то «четвёртое измерение», по которому Мандельштам отличал подлинную поэзию от рифмованных строк. | НН | Н,НН | Правильное написание: царственности.
Анна Ахматова позволяла себе иронизировать по поводу своих знаменитейших стихов, и это ничуть не противоречило её царственности, не нарушало её внутре(Н/НН)ей поэтической гармонии, а только обогащало её образ, сообщало ему то «четвёртое измерение», по которому Мандельштам отличал подлинную поэзию от рифмованных строк. | НН | Н,НН | Правильное написание: внутренней.
Анна Ахматова позволяла себе иронизировать по поводу своих знаменитейших стихов, и это ничуть не противоречило её царственности, не нарушало её внутренней поэтической гармонии, а только обогащало её образ, сообщало ему то «четвёртое измерение», по которому Мандельштам отличал подли(Н/НН)ую поэзию от рифмованных строк. | НН | Н,НН | Правильное написание: подлинную.
Анна Ахматова позволяла себе иронизировать по поводу своих знаменитейших стихов, и это ничуть не противоречило её царственности, не нарушало её внутренней поэтической гармонии, а только обогащало её образ, сообщало ему то «четвёртое измерение», по которому Мандельштам отличал подлинную поэзию от рифмова(Н/НН)ых строк. | НН | Н,НН | Правильное написание: рифмованных.

# Комплект 99; источник № 734
После завершения аукцио(Н/НН)ой продажи на рынке ценных бумаг приватизированных предприятий было отмечено значительное расширение спроса на акции предприятий гостиничного бизнеса и торговли. | НН | Н,НН | Правильное написание: аукционной.
После завершения аукционной продажи на рынке це(Н/НН)ых бумаг приватизированных предприятий было отмечено значительное расширение спроса на акции предприятий гостиничного бизнеса и торговли. | НН | Н,НН | Правильное написание: ценных.
После завершения аукционной продажи на рынке ценных бумаг приватизирова(Н/НН)ых предприятий было отмечено значительное расширение спроса на акции предприятий гостиничного бизнеса и торговли. | НН | Н,НН | Правильное написание: приватизированных.
После завершения аукционной продажи на рынке ценных бумаг приватизированных предприятий было отмече(Н/НН)о значительное расширение спроса на акции предприятий гостиничного бизнеса и торговли. | Н | Н,НН | Правильное написание: отмечено.

# Комплект 100; источник № 6837
