# Задание 13: НЕ/НИ со словами
# Формат: предложение | ответ | варианты | пояснение
# Ответы восстановлены по условию и официальному цифровому ответу каждого комплекта.


# Комплект 1; источник № 51414
Дом у Петровых (НЕ)БОЛЬШОЙ, но очень уютный. | слитно | слитно,раздельно | С прилагательным пишется слитно, нет условий для раздельного написания. Союз «но» не равен союзу «а».
Всё было: море музыки, красивые костюмы, роскошные декорации и та самая атмосфера Большого театра, которая вот уже долгие годы хранит никем (НЕ)РАСКРЫТЫЙ секрет. | раздельно | слитно,раздельно | Причастие с зависимыми словами, поэтому раздельно.

# Комплект 55; источник № 58092
Во время материализации часто обнаруживаются роковые недочёты той идеи, которая материализуется, а иногда и совершенная (НЕ) ПРИГОДНОСТЬ к жизни. | слитно | слитно,раздельно | С именем сущ. слитно без условий для раздельного написания, возможна замена синонимом.
Так он просидел долгое время в оцепенении, (НЕ)СЛЫША ни свиста птиц, ни плеска пущенных садовником фонтанов. | раздельно | слитно,раздельно | Деепричастие пишется раздельно.
Федосья Ивановна, ни слова (НЕ) ПОНЯВШАЯ из разговора, осталась хлопотать в столовой. | раздельно | слитно,раздельно | Причастие с зависимым словом пишется раздельно.
Оказавшиеся (НЕ)СЪЕДОБНЫМИ огурцы заброшены далеко, за край поляны. | слитно | слитно,раздельно | С именем прил. слитно без условий для раздельного написания, возможна замена синонимом.
Мы обшарили всё вокруг, облазили кусты и все тропинки в радиусе (НЕ)МЕНЕЕ пятисот метров, однако ничего больше не нашли. | раздельно | слитно,раздельно | Со сравн. степенью наречия пишется раздельно.

# Комплект 56; источник № 51420
Говорил капитан (НЕ)ГРОМКО, но горячо, подтверждая каждое слово резкими движениями больших кулаков. | слитно | слитно,раздельно | Слитно с наречием, условий для раздельного написания нет, противопоставления нет, союз «но» не равен «а».
Как камень, брошенный в гладкий источник, я встревожил их спокойствие и, как камень, едва сам (НЕ)ПОШЁЛ ко дну! | раздельно | слитно,раздельно | Раздельно с глаголом.
Мы проезжали мимо (НЕ)ШИРОКОЙ горной речки. | слитно | слитно,раздельно | Слитно с прилагательным, условий для раздельного написания нет.
(НЕ)СМОТРЯ на все наши предосторожности, весть о появлении Пугачёва разнеслась по крепости. | слитно | слитно,раздельно | Уступительный предлог пишется слитно, это не деепричастие.
Он так часто старался уверить других в том, что он существо, (НЕ)СОЗДАННОЕ для мира, обречённое каким-то тайным страданиям, что он сам почти в этом уверился. | раздельно | слитно,раздельно | С причастием, имеющим зависимые слова, пишется раздельно.

# Комплект 57; источник № 60219
В пакете оказалось (НЕ)ЧТО иное, как самая обычная колбаса. | раздельно | слитно,раздельно | Раздельное написание. Устойчивый оборот «не что иное, как...», в котором частица НЕ пишется раздельно.
Поле заросло давно (НЕ)КОШЕННОЙ травой. | раздельно | слитно,раздельно | Раздельное написание НЕ с причастием. У причастия «кошенной» есть зависимое слово («давно»), поэтому НЕ пишется раздельно.
Мне (НЕ)ЧЕГО было ответить на его упреки. | слитно | слитно,раздельно | Слитное написание. «Нечего» — это отрицательное местоимение, в котором НЕ является ударной приставкой. Отрицательные местоимения без предлогов всегда пишутся слитно.
(НЕ)СМОТРЯ на проливной дождь, мы решили пойти на прогулку. | слитно | слитно,раздельно | Слитное написание. «Несмотря на» в значении «вопреки чему-либо» является производным предлогом и всегда пишется слитно. Важно не путать с деепричастием «не смотря» (то есть не глядя).
Разговоры взрослых (НИ)СКОЛЬКО не помешали уставшим детям заснуть. | слитно | слитно,раздельно | Правило гласит: отрицательные наречия с приставками НЕ- и НИ- пишутся слитно. В слове ниско́лько приставка ни- безударная, поэтому пишется И.

# Комплект 58; источник № 51313
Митя делал всё очень быстро, но без особого старания — (НЕ)ДАРОМ все, кто сталкивался с ним по долгу службы, впредь отказывались с ним работать. | слитно | слитно,раздельно | НЕДАРОМ все, кто сталкивался с ним по долгу службы, впредь отказывались с ним работать. — Пишется слитно с наречием, потому что имеет значение «не зря, поэтому».
Эта коробка (НЕ)МЕНЬШЕ той, но значительно легче. | раздельно | слитно,раздельно | Со сравнительной степенью прилагательного пишется раздельно.
Он широко раскрытыми глазами смотрел на (НЕ)ОБРАЩАВШИХ на него внимания товарищей. | раздельно | слитно,раздельно | Пишется раздельно с причастием, т. к. есть зависимые слова.
Я не любитель романтических комедий и лёгких мелодрам, поэтому фильм я так и (НЕ)ДОСМОТРЕЛ до конца. | раздельно | слитно,раздельно | С глаголом пишется раздельно. В глаголе нет приставки «недо», он имеет значение незавершённости действия: завершить действие возможно.
Внизу шумела речка, (НЕ)ШИРОКАЯ, но быстрая. | слитно | слитно,раздельно | Внизу шумела речка, НЕШИРОКАЯ, но быстрая. Имя прил. пишется слитно, так как заменяется синонимом. Союз «но» не равен союзу «а», противопоставления нет.

# Комплект 59; источник № 52961
Мы шли по узкой, до сих пор (НЕ)СЖАТОЙ полосе золотой ржи. | раздельно | слитно,раздельно | В причастном обороте причастие пишется раздельно.
Когда автору (НЕ)ДОСТАЁТ веских аргументов, он прибегает к ссылке на авторитеты. | слитно | слитно,раздельно | В данном глаголе приставка недо, значение её — «не хватает».
Русский восемнадцатый век он изучил во всех его мельчайших подробностях и знал его основательно, (НЕ)КАК дилетант. | раздельно | слитно,раздельно | Частица «не» пишется раздельно с союзом «как», наречие же «не́как» считается разговорным и в словарях не фиксируется.
Я мечтал (НЕ)ПРОСТО спеть, а выступить на большой сцене. | раздельно | слитно,раздельно | Я мечтал НЕ ПРОСТО спеть, а выступить на большой сцене. Частица «не» относится к слову «спеть» (не спеть, а выступить.).
Каждый считал жизненной необходимостью попасть в Большой театр, а (НЕ)ВОЗМОЖНОСТЬ сделать это была равносильна несчастью. | слитно | слитно,раздельно | Слитно с именем сущ. без условий для разделения.

# Комплект 60; источник № 51332
Эдуард говорил хоть и (НЕ)ГРОМКО, но все в комнате слышали каждое его слово. | слитно | слитно,раздельно | Слитно с наречием., которое можно заменить синонимом (тихо), условий для раздельного написания нет.
Мясо в супе было (НЕ)ДОВАРЕНО, оттого жевалось с трудом и имело странный вкус. | слитно | слитно,раздельно | Приставка «недо» в значении «мало», антоним «пере») — значение недостаточности действия, слитное написание. Мясо было сырым!.
Так и (НЕ)ДОВАРИВ борщ, сестра выбежала на улицу и побежала в сторону дома родителей | раздельно | слитно,раздельно | Так и НЕ ДОВАРИВ борщ, сестра выбежала на улицу и побежала в сторону дома родителей. Раздельно с деепричастием, приставки «недо» нет, действие не доведено до конца.
Всё это ни разу не заставило задуматься графиню, которая (НЕ)ДАРОМ пользовалась репутацией умнейшей женщины. | слитно | слитно,раздельно | Слово-наречие пишется слитно в значении «неспроста, по причине».
Археологи Ростовской области обеспокоены застройкой (НЕ)ИССЛЕДОВАННЫХ учёными территорий. | раздельно | слитно,раздельно | Причастие с зависимыми словами, поэтому раздельно.

# Комплект 61; источник № 57515
(НЕ)МЕДЛЯ ни минуты, я отправился во двор, выбрал тяжёлую палку и начал поддевать ею щепки, комки земли, чурбаки. | раздельно | слитно,раздельно | С деепричастием раздельно.
В пещере достаточно светло потому, что она (НЕ)ЦЕЛИКОМ подземная, а с выходами на поверхность. | раздельно | слитно,раздельно | Отрицательная частица с наречием «целиком» пишется раздельно. Если бы не было слова «целиком», написание частицы рядом с именем прил. было бы раздельным, так как далее идёт противопоставление.
(НЕ)ВЗИРАЯ на известные послабления в связи с Манифестом о свободе слова и печати, гонения цензуры не прекращались. | слитно | слитно,раздельно | Уступительный предлог пишется слитно.
Соловьёву нравился (НЕ)ПЕРЕДАВАЕМЫЙ библиотечный запах: он соединял в себе ароматы книг, дубовых стеллажей и вытертых ковровых дорожек. | слитно | слитно,раздельно | С отглагольным прилагательным на -мый без творительного деятеля/орудия пишется слитно.
Для меня, человека беззаботного, ищущего оправдания для своей постоянной праздности, эти летние праздничные утра в наших усадьбах всегда были (НЕ)ОБЫКНОВЕННО привлекательны. | слитно | слитно,раздельно | С наречием на О пишется слитно без условий для раздельного написания.

# Комплект 62; источник № 51331
К числу (НЕ)ДЕЙСТВУЮЩИХ вулканов относится, например, самая высокая из Кавказских гор — Эльбрус. | слитно | слитно,раздельно | Эльбрус. — Слитно с причастием без зависимых слов.
(НЕ)ГРОМКИЙ, но мощный хлопок раздался у Петра, казалось, над самым ухом. | слитно | слитно,раздельно | Слитно с прилаг., которое можно заменить синонимом (тихий), условий для раздельного написания нет. Союз «но» не создаёт антонимический ряд, не противопоставляет признаки.
В гостиную вошёл никому (НЕ)ЗНАКОМЫЙ человек, но многочисленные гости даже не обратили на него внимания. | раздельно | слитно,раздельно | Раздельно с прилаг., условие для раздельного написания — слово «никому».
(НЕ)СМОТРЯ на сухую погоду, в затянутых травой кюветах блестела вода. | слитно | слитно,раздельно | Уступительный производный предлог пишется слитно.
Это был обычный солдатский трёп, беззаботная болтовня подчинённых, ничем конкретно (НЕ)ОБЕСПОКОЕННЫХ. | раздельно | слитно,раздельно | Причастие с зависимыми словами, поэтому раздельно.

# Комплект 63; источник № 60957
Не забудь купить торт, (НЕ)ТО останемся без десерта. | раздельно | слитно,раздельно | это союз в значении «а иначе, в противном случае». Союз не то пишется раздельно. Не подходит. ❌.
Поступил Федя, конечно, (НЕ)СОВСЕМ по-дружески. | раздельно | слитно,раздельно | наречие. Не с наречиями, которые не оканчиваются на -о/-е, пишется раздельно. Не подходит. ❌.
Несмотря на близкое родство, мальчики были (НИ)СКОЛЬКО не похожи друг на друга. | слитно | слитно,раздельно | отрицательное наречие. Ни — приставка, пишется слитно: нисколько. Подходит. ✅.
Мне было (НЕ)ЧЕГО ответить на его упрёк. | слитно | слитно,раздельно | отрицательное местоимение. Предлога между не и чего нет, значит пишется слитно: нечего. Подходит. ✅.
За всё путешествие автомобиль (НИ)РАЗУ не подвёл нас. | раздельно | слитно,раздельно | наречное сочетание в значении «никогда». Пишется раздельно: ни разу. Не подходит. ❌.

# Комплект 64; источник № 51415
Справа над лесистыми холмами сияла (НЕ)МИГАЮЩАЯ звезда. | слитно | слитно,раздельно | С причастием без зависимых слов пишется слитно.
А молодой человек даже и деньги с него вперёд получил, очень (НЕ)МАЛЫЕ деньги. | слитно | слитно,раздельно | С прилагательным пишется слитно, нет условий для раздельного написания.
Тишина, (НЕ)НАРУШАЕМАЯ ни движением, ни звуком, особенно поразительна. | раздельно | слитно,раздельно | С причастием с зависимыми словами пишется раздельно.
Дом стоял посреди степи, ничем (НЕ)ОГОРОЖЕННЫЙ. | раздельно | слитно,раздельно | С причастием с зависимыми словами пишется раздельно.
Мы бредём по тем дорожкам, где (НЕ)КОШЕНА трава. | раздельно | слитно,раздельно | С кратким причастием пишется раздельно.

# Комплект 65; источник № 51249
Сегодня, когда опреснение морской воды стало затратным и (НЕ)ПОЗВОЛЯЕТ обеспечить всех питьевой водой, в качестве выхода предлагается проект получения воды при растапливании айсбергов. | раздельно | слитно,раздельно | Сегодня, когда опреснение морской воды стало затратным и НЕ ПОЗВОЛЯЕТ обеспечить всех питьевой водой, в качестве выхода предлагается проект получения воды при растапливании айсбергов.
(НЕ)ОСОЗНАВАЯ сути правил коммуникации, люди знакомы с ними на словах, забывая о том, что их необходимо использовать каждый день. | раздельно | слитно,раздельно | НЕ ОСОЗНАВАЯ сути правил коммуникации, люди знакомы с ними на словах, забывая о том, что их необходимо использовать каждый день.
Самостоятельно осваивать технологию обработки металла и получать профессию кузнеца — очень (НЕ)ПРОСТОЕ занятие. | слитно | слитно,раздельно | очень НЕПРОСТОЕ занятие.
Я не любитель романтических комедий и лёгких мелодрам, поэтому фильм я так и (НЕ)ДОСМОТРЕЛ до конца. | раздельно | слитно,раздельно | частица «не» с глаголом пишется раздельно. Не осознавая — частица «не» с деепричастием пишется раздельно. (очень) непростое (= очень трудное) — имя прилагательное, возможна замена синонимом, нет противопоставления и слов, дающих раздельное написание, см правило к заданию. Не досмотрел — частица «не» с глаголом пишется раздельно. Действие не завершено. См. правило о различии приставки «недо» и частицы «не». Неподвижные (= застывшие, замершие) — имя прилагательное, возможна замена синонимом, нет противопоставления и слов, дающих раздельное написание, см правило к заданию.
Стоит выйти на крыльцо, как осень начнёт дышать в лицо горьким запахом первого тонкого льда, сковавшего (НЕ)ПОДВИЖНЫЕ воды. | слитно | слитно,раздельно | В этом контексте написание должно быть слитно.

# Комплект 66; источник № 51321
Мой слух поразили какие-то странные, (НЕ)ПРИВЫЧНЫЕ звуки. | слитно | слитно,раздельно | Слитно с прилагательным, которое можно заменить синонимом «новые».
(НЕ)ВЕРЯЩИЙ в чудеса фокусник лукаво улыбался. | раздельно | слитно,раздельно | Раздельно с причастием, потому что есть зависимое слово.
Новобранцы были совершенно (НЕ)ПОХОЖИМИ на местных жителей. | слитно | слитно,раздельно | Условий для раздельного написания имени прилагательного нет.
Море слилось с синим южным небом и крепко спит, отражая в себе ткань облаков, (НЕ)СКРЫВАЮЩИХ собою звёзд. | раздельно | слитно,раздельно | Раздельно с причастием, потому что есть зависимое слово.
Общество, (НЕ)НАВИДЯЩЕЕ личность, само обрекает себя на гибель. | слитно | слитно,раздельно | Слово не употребляется без «не».

# Комплект 67; источник № 51327
Мы встретились в (НЕ)ОБСТАВЛЕННОЙ комнате, чтобы обсудить её будущий дизайн. | слитно | слитно,раздельно | С причастием без зависимых слов пишется слитно.
Германн услышал (НЕ)ЗНАКОМУЮ походку: кто-то ходил, тихо шаркая туфлями. | слитно | слитно,раздельно | Слитно с прилаг., которое можно заменить синонимом (чужую), условий для раздельного написания нет.
В новом доме еще (НЕ)БЫЛО проведено электричество, и мы сидели при свечах. | раздельно | слитно,раздельно | С глаголом раздельно.
Я (НЕ)ДОЛЖЕН был бы оставить кавалерийскую службу, которую я очень любил. | раздельно | слитно,раздельно | Раздельно с прилаг., условие для раздельного написания — слово «должен» является исключением.
Всю ночь отряд шёл по ещё (НЕ)ИСХОЖЕННОМУ насту. | раздельно | слитно,раздельно | Причастие с зависимыми словами, поэтому раздельно.

# Комплект 68; источник № 60246
Вскоре она научилась печатать вслепую, (НЕ)CMOTPЯ на клавиатуру. | раздельно | слитно,раздельно | Раздельно. Здесь «не смотря» — это деепричастие с частицей НЕ (в прямом смысле «не глядя»). Не следует путать с производным предлогом «несмотря на» (вопреки).
(НЕ)(ЗА)ЧЕМ тебе, Наталья, столько обо всех волноваться. | слитно | слитно,раздельно | Слитно. «Незачем» — это отрицательное наречие (отвечает на вопрос «зачем?» с отрицанием). Отрицательные наречия с приставкой НЕ- пишутся слитно, если приставка ударная. В данном случае ударение падает именно на НЕ-.
Дистанционные технологии были ещё (НЕ)ОСВОЕНЫ. | раздельно | слитно,раздельно | Раздельно. «Не освоены» — это краткое причастие. Частица НЕ с краткими причастиями всегда пишется раздельно.
Эту очень (НЕ)ПРИЯТНУЮ ситуацию мне сразу захотелось забыть. | слитно | слитно,раздельно | Слитно. «Неприятную» — это прилагательное. Оно пишется с НЕ слитно, так как его можно заменить синонимом без НЕ (например, «противную», «отталкивающую»). Слово «очень» является наречием меры и степени и не влияет на слитное написание.
При беглом просмотре материалов меня охватило чувство (НЕ)КОТОРОГО удивления. | слитно | слитно,раздельно | Слитно. «Некоторого» — это неопределённое местоимение. Все неопределённые местоимения с приставкой НЕ- пишутся слитно, если нет предлога.

# Комплект 69; источник № 51418
Часто (НЕ)ДОСТАЁТ решительности, чтобы отстоять свои убеждения. | слитно | слитно,раздельно | В слове приставка недо, в значении «не хватает».
Я был в крайнем (НЕ)ДОУМЕНИИ. | слитно | слитно,раздельно | Без приставки слово не употребляется.
Лучше (НЕ)ДОСОЛИТЬ, чем пересолить. | слитно | слитно,раздельно | Глагол с приставкой «недо-» пишем слитно, его антоним пересолить.
Недовольство собой (НЕ)НАДУМАНО Толстым — это часть его живой души. | раздельно | слитно,раздельно | это часть его живой души. — С кратким причастием раздельно.
Почти (НЕ)ТРОНУВ копытами земли, кони превратились в одни вытянутые линии, летящие по воздуху. | раздельно | слитно,раздельно | С деепричастием раздельно.

# Комплект 70; источник № 51323
Землетрясения в этом регионе отнюдь (НЕ)РЕДКИЕ, но люди всё равно не покидают родных мест. | раздельно | слитно,раздельно | Раздельно с прилагательным, т. к. отрицание усиливается словом «отнюдь».
На востоке появилась (НЕ)ВЫСОКАЯ, прерывающаяся только в одном месте дуга. | слитно | слитно,раздельно | Слитно с прилаг., которое можно заменить синонимом (низкая), условий для раздельного написания нет.
Наша новая соседка по купе оказалась (НЕ)МНОГО стеснительной, но добродушной и щедрой девушкой. | слитно | слитно,раздельно | Слитно с наречием, которое можно заменить синонимом (чуть-чуть), условий для раздельного написания нет.
(НЕ)ЖЕЛАЯ огорчать мать, Наташа не решалась рассказать ей о болезни Алексея. | раздельно | слитно,раздельно | С деепричастием раздельно.
Партнёры, (НЕ)ЖЕЛАВШИЕ идти на компромисс, решили разорвать контракт. | раздельно | слитно,раздельно | Причастие с зависимыми словами, поэтому раздельно.

# Комплект 71; источник № 51319
(НЕ)ЗАЧЕМ думать о плохом: всё будет хорошо. | слитно | слитно,раздельно | С отрицательными наречиями пишется слитно.
Он пытался меня убедить, что моя попытка уйти от разговора — это (НЕ)ЧТО иное, как боязнь смотреть правде в глаза. | раздельно | слитно,раздельно | это НЕ ЧТО иное, как боязнь смотреть правде в глаза. — Оборот «не что иное как»; поэтому пишется раздельно.
Он вошёл в комнату, совершенно (НЕ)ПОХОЖУЮ на первую. | слитно | слитно,раздельно | С прилагательным пишется слитно, отрицательных усилителей нет. Синоним подобрать трудно, именно поэтому мы смотрим, нет ли условий для раздельного написания.
Мы с юристом обсудили (НЕ)УКАЗАННЫЕ в договоре условия. | раздельно | слитно,раздельно | С причастием в причастном обороте раздельно (у причастия есть зависимое слово).
Говорят, глупость — болезнь (НЕ)ИЗЛЕЧИМАЯ. | слитно | слитно,раздельно | болезнь НЕИЗЛЕЧИМАЯ. — С прилагательным (слово на -мый, см. правило) пишется слитно, заменяется синонимом (вечная, постоянная), отрицательных усилителей нет.

# Комплект 72; источник № 51343
Ты некрасив, у тебя (НИ)ЧЕМ не примечательная внешность, но взгляд у тебя необыкновенный. | слитно | слитно,раздельно | Местоимение без предлога, слитно.
(НИ)КАКИМ прибором нельзя увидеть и измерить все тончайшие движения и колебания его души и чувств | слитно | слитно,раздельно | Местоимение без предлога, слитно.
Я уже настолько вошел во вкус литературной работы, что жить без нее не мог, а работать (НЕ)ГДЕ было. | слитно | слитно,раздельно | Наречие, слитно.
(НИ)ГДЕ Варя работала, ни по какому адресу проживала, я не знал. | раздельно | слитно,раздельно | Повторяющийся союз «ни» пишется раздельно (обратите внимание на второй союз).
Тем более, что роль морского капитана мне казалась (НИ)ЧУТЬ не хуже писательской. | слитно | слитно,раздельно | Наречие, слитно.

# Комплект 73; источник № 51417
(НЕ)ВСЕГДА он работал для денег. | раздельно | слитно,раздельно | С наречием не на «о» раздельно.
Мальчик упрямо покачал головой и решительным движением пригладил (НЕ)СТРИЖЕНЫЕ вихры. | слитно | слитно,раздельно | С отглагольным прилагательным без зависимых слов пишется слитно.
(НЕ)СМОТРЯ на сложность изучаемой темы, мы постараемся разобраться в ней как можно лучше. | слитно | слитно,раздельно | Уступительный предлог пишется слитно, это не деепричастие.
Публицист заострил социальную проблематику очерка, указав на (НЕ)СПРАВЕДЛИВОСТЬ существующего порядка. | слитно | слитно,раздельно | С именем сущ. пишется слитно, не условий для раздельного написания.
Дружба между мужчиной и женщиной есть (НЕ)ЧТО иное, как или начало, или остатки любви, или, наконец, самая любовь. | раздельно | слитно,раздельно | Устойчивый оборот «не что иное, как».

# Комплект 74; источник № 51416
В детстве Чехов был (НЕ)ИСТОЩИМ на выдумки. | слитно | слитно,раздельно | это слово не является причастием, это прилагательное на «им». Смотрите правило к заданию.
Работать пришлось в (НЕ)ИССЛЕДОВАННОЙ местности. | слитно | слитно,раздельно | С причастием без зависимых слов пишется слитно.
Маша сыграла на пианино очень красивую мелодию (НЕ)ИЗВЕСТНОГО мне композитора. | слитно | слитно,раздельно | С прилагательным пишется слитно, нет условий для раздельного написания.
(НЕ)ДОУМЕВАЯ, Ольга остановилась. | слитно | слитно,раздельно | Без «не» не употребляется.
Так и (НЕ)ПОНЯВ смысла, который сценарист пытался вложить в фильм, Анна выключила планшет. | раздельно | слитно,раздельно | С деепричастием раздельно.

# Комплект 75; источник № 51422
В комнате холодно, сыро и (НЕ)УЮТНО. | слитно | слитно,раздельно | Слитно со словом-категорией состояния, условий для раздельного написания нет.
Во всех движениях молодого механика чувствовалась какая-то (НЕ)УВЕРЕННОСТЬ. | слитно | слитно,раздельно | Слитно с именем сущ., условий для раздельного написания нет.
Друзья разъехались, и (НЕ)КОГО позвать в гости. | слитно | слитно,раздельно | Слитно с местоимением без предлога.
Супруг (НЕ)ДОЛЖЕН ничего скрывать от супруги своей. | раздельно | слитно,раздельно | Раздельно с особым кратким прилагательным, не имеющим полной формы в этом же значении.
(НЕ)ТЕРЯЯ надежды усовестить изменников, Василий писал к жителям соседних городов. | раздельно | слитно,раздельно | Раздельно с деепричастием.

# Комплект 76; источник № 51339
Молодые листья лучше не обрабатывать вообще, а обработку всего растения проводить (НЕ)ЧАЩЕ одного раза в месяц. | раздельно | слитно,раздельно | С наречием не на «о» раздельно, также раздельно потому, что «чаще» — это сравнительная степень, см. правила.
В (НЕ)ОКОНЧЕННОЙ юношеской «Повести» М. Ю. Лермонтова описывается детство Саши Арбенина, двойника самого автора. | слитно | слитно,раздельно | Причастие без зависимых слов, поэтому слитно.
Мы так и остались в (НЕ)ДОУМЕНИИ, когда странный гость внезапно удалился. | слитно | слитно,раздельно | Без «не» не употребляется, поэтому слитно.
Только летним утром ощущаешь, что всё дышит запахом ещё (НЕ)КОШЕННОЙ травы. | раздельно | слитно,раздельно | Причастие с зависимыми словами, поэтому раздельно.
Татьяна отреагировала на свежие новости (НЕ)РАДОСТНО, как рассчитывали мы, а с грустью и тоской. | раздельно | слитно,раздельно | Раздельно с наречием., условие для раздельного написания — союз «а».

# Комплект 77; источник № 51413
Рукопожатие было (НЕ)ДОЛГОЕ, но крепкое. | слитно | слитно,раздельно | С прилагательным пишется слитно, нет условий для раздельного написания. Союз «но» не равен союзу «а».
Книга так и осталась лежать в номере (НЕ)ДОЧИТАННОЙ. | слитно | слитно,раздельно | С причастием без зависимых слов пишется слитно.
Женя знала, что на работе её (НЕ)ДОЛЮБЛИВАЛИ, и очень переживала из-за этого. | слитно | слитно,раздельно | Слитно, потому что без «не» не употребляется.
Кате (НЕ)ДОСТАВАЛО уверенности в своих силах. | слитно | слитно,раздельно | Глагол «доставало» пишется с «не» слитно в значении «иметься в недостаточном количестве, не хватать».
Заповедники нужны для научных исследований как эталоны природы, (НЕ)ОСВОЕННОЙ человеком. | раздельно | слитно,раздельно | С причастием с зависимыми словами пишется раздельно.

# Комплект 78; источник № 51312
Эта юная актриса, нисколько (НЕ)ПРЕТЕНДОВАВШАЯ на всемирную известность, но обладающая при этом здоровыми амбициями, покорила журналиста. | раздельно | слитно,раздельно | Пишется раздельно с причастием, т. к. есть зависимые слова.
Если бы не случайная встреча, Сезария Эвора, возможно, так и осталась бы (НЕ)ИЗВЕСТНОЙ певицей из музыкального бара. | слитно | слитно,раздельно | Имя прил., пишется слитно, потому что можно заменить синонимом «тайной, нераскрытой».
(НЕ)СМОТРЯ на дождь, мы продолжали идти. | слитно | слитно,раздельно | Этот предлог пишется слитно.
Я расскажу всё так, как было на самом деле, (НЕ)ИСКАЖАЯ ни единого слова. | раздельно | слитно,раздельно | Пишется раздельно с деепричастием.
Никем (НЕ)СДЕРЖИВАЕМЫЙ камень быстро покатился по склону вниз. | раздельно | слитно,раздельно | Пишется раздельно с причастием, т. к. есть зависимые слова.

# Комплект 79; источник № 51316
Условия контракта были совершенно (НЕ)ВЫГОДНЫМИ, однако Николай всё же подписал его. | слитно | слитно,раздельно | Имя прил., можно заменить синонимом «плохими, неприемлемыми». Слово «совершенно» усиливает значение, не является отрицательным усилителем.
Над головой хрипло орали (НЕ)ВИДИМЫЕ за листьями птицы. | слитно | слитно,раздельно | Слово с суффиксом «им» в данном предложении является прилагательным. Условий для раздельного написания нет, так как нет лица-производителя действия, сло́ва в творительном падеже. См. правило к заданию.
Произведение (НЕ)ПЕРЕВЕДЕНО на европейские языки, поэтому иностранному читателю оно плохо знакомо. | раздельно | слитно,раздельно | Раздельно с кратким причастием.
Его гений мог работать только над чем-нибудь (НЕ)ИЗВЕСТНЫМ человечеству. | слитно | слитно,раздельно | Прилагательное можно заменить синонимом «чуждым, неизведанным», поэтому слитно. Условий для раздельного написания нет.
(НЕ)ЛАСКОВО посмотрела на Егорушку Нина, а как-то зло, отчуждённо. | раздельно | слитно,раздельно | Противопоставление с союзом «а» при наречии даёт раздельное написание. На вопрос о «невидимых птицах» есть ответ в «Правиле» к заданию.

# Комплект 80; источник № 51334
Черты лица девушки были (НЕ)ПРАВИЛЬНЫМИ, но очень тонкими и даже красивыми. | слитно | слитно,раздельно | Слитно с прилаг., которое можно заменить синонимом «нестандартными», условий для раздельного написания нет.
Мальчишка, (НЕ)ЗАМЕЧАЯ ничего вокруг, продолжал строить свои замки из песка. | раздельно | слитно,раздельно | С деепричастием раздельно.
Продолжая настаивать на своём, супруги, (НЕ)ЖЕЛАВШИЕ уступать, всё больше отдалялись друг от друга. | раздельно | слитно,раздельно | Причастие с зависимыми словами, поэтому раздельно.
Не удивляйтесь — мы все в детстве так часто (НЕ)ДОЕДАЛИ, что всё, связанное с вкусной и сытной едой, запоминалось надолго. | слитно | слитно,раздельно | мы все в детстве так часто НЕДОЕДАЛИ, что всё, связанное с вкусной и сытной едой, запоминалось надолго. — «недо-» в значении «мало» (антоним «пере»-) — значение недостаточности действия: завершить действие нельзя!.
Маша (НЕ)ДОСТАВАЛА до высокой оконной ручки — была ещё мала ростом. | раздельно | слитно,раздельно | была ещё мала ростом. — С глаголом пишется раздельно; здесь нет приставки «недо»!.

# Комплект 81; источник № 51329
На первый взгляд Павел показался мне абсолютно (НЕ)ИСКРЕННИМ человеком, но довольно скоро я убедился в обратном. | слитно | слитно,раздельно | Слитно с прилаг., которое можно заменить синонимом (лживым), условий для раздельного написания нет.
Егор собрал все (НЕ)НУЖНЫЕ бумаги и бросил их в мусорную корзину. | слитно | слитно,раздельно | Слитно с прилаг., которое можно заменить синонимом (лишние), условий для раздельного написания нет.
Мир был целостный, (НЕ)РАЗДЕЛЁННЫЙ. | слитно | слитно,раздельно | Слитно с причастием без зависимых слов.
В доме было (НЕ)ПРОТОПЛЕНО, и мы никак не могли согреться. | раздельно | слитно,раздельно | С кратким причастием пишется раздельно.
Местами свет вовсе (НЕ)ПРОНИКАЛ под густой навес сосновых ветвей. | раздельно | слитно,раздельно | С глаголом пишется раздельно.

# Комплект 82; источник № 51322
Андрей, (НЕ)ДОУМЕВАЯ, вертел пакет в руках. | слитно | слитно,раздельно | Слово без «не» не употребляется.
Когда мы плыли на лодке по разлившейся реке, нам то и дело попадались грязно-серые пятачки — (НЕ)ЗАТОПЛЕННЫЕ ещё бугорки. | раздельно | слитно,раздельно | НЕ ЗАТОПЛЕННЫЕ ещё бугорки. — Раздельно с причастием, имеющим зависимые слова.
Поступок Леонида показался мне не столько глупым, сколько (НЕ)ПРОДУМАННЫМ. | слитно | слитно,раздельно | Слитно с причастием, потому что нет зависимого слова.
Кусту сирени под окном (НЕ)МЕНЬШЕ десяти лет. | раздельно | слитно,раздельно | Со сравнительной степенью прилагательного раздельно.
Далеко (НЕ)ГОСТЕПРИИМНЫЙ лес тянулся до самой Нерехты. | раздельно | слитно,раздельно | С прилагательным, имеющим отрицательный усилитель, раздельно (далеко не).

# Комплект 83; источник № 51330
